1000	0.00606443
2000	0.0155572
3000	0.0356794
4000	0.053736
5000	0.0858501
6000	0.128446
7000	0.171486
8000	0.221001
9000	0.266884
10000	0.343802
11000	0.402711
12000	0.48652
13000	0.564673
14000	0.65785
15000	0.75617
16000	0.853036
17000	0.966934
18000	1.08189
19000	1.21137
20000	1.34635
21000	1.52023
22000	1.60641
23000	1.7487
24000	1.90744
25000	2.08708
26000	2.27507
27000	2.43904
28000	2.62937
29000	2.85536
30000	3.04406
31000	3.24354
32000	3.48361
33000	3.65551
34000	3.84041
35000	4.0403
36000	4.36623
37000	4.61915
38000	4.76923
39000	5.02448
40000	5.36231
41000	5.62058
42000	5.85812
43000	6.09288
44000	6.3586
45000	6.67889
46000	7.02171
47000	7.30933
48000	7.6424
49000	8.00811
50000	8.24718
51000	8.77406
52000	9.04626
53000	9.3096
54000	9.60952
55000	9.9986
56000	10.3335
57000	10.6571
58000	11.1963
59000	11.4919
60000	11.8267
61000	12.3013
62000	12.7797
63000	13.1162
64000	13.5135
65000	13.9801
66000	14.4006
67000	14.905
68000	15.2899
69000	15.7867
70000	16.337
71000	16.72
72000	17.2231
73000	17.5204
74000	17.9451
75000	18.5432
76000	18.9887
77000	19.5177
78000	20.0646
79000	20.5676
80000	21.8177
81000	21.9393
82000	22.45
83000	22.8787
84000	23.1943
85000	23.85
86000	24.2747
87000	24.9373
88000	25.4443
89000	26.1501
90000	26.6545
91000	27.3893
92000	28.0414
93000	29.0432
94000	29.4863
95000	29.8406
96000	30.3926
97000	31.1947
98000	31.5593
99000	32.1945
